time,y
0,0.378759977483281
1,27.9219736778107
2,58.1742403132486
3,87.4298613058955
4,115.143817721892
5,138.91303790398
6,163.971534262534
7,189.234091002431
8,216.712099261005
9,238.342754000441
10,263.740000875288
11,285.552282253589
12,308.977751409456
13,329.808227343209
14,352.544329061723
15,372.410456381848
16,394.034790996139
17,412.67707661741
18,433.348318738231
19,453.362812617778
20,472.824505175038
21,491.209947426969
22,508.310159675499
23,528.690318741924
24,545.784058512074
25,562.997200709406
26,580.287872207654
27,597.857917158399
28,613.896149180433
29,630.605055486727
30,646.402977090513
31,659.73604174767
32,678.301973593125
33,693.895728049854
34,707.395239657814
35,723.723962693685
36,739.822155897077
37,752.532844243148
38,765.571711310893
39,780.858956646742
40,795.125668316956
41,808.73547935372
42,821.785195902927
43,835.150503354032
44,848.867630385116
45,861.368127350263
46,874.853738119365
47,886.199986410992
48,899.393441007738
49,912.831873101639
50,924.972224843089
51,937.618940545326
52,949.386105228617
53,960.69925246412
54,969.82303272028
55,985.072133597604
56,996.239755882646
57,1006.5875436649
58,1018.07604426082
59,1030.07796087404
60,1040.52810086987
